Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,100n,C_0603,106.800000,-88.500000,180.000000,top
C2,100n,C_0603,109.000000,-112.550000,90.000000,top
C3,1u,C_0603,104.500000,-87.700000,90.000000,top
C4,100n,C_0603,108.900000,-120.600000,0.000000,top
C5,100n,C_0603,100.300000,-122.200000,270.000000,top
C6,10n,C_0603,100.300000,-125.500000,90.000000,top
C7,10u,C_0805,69.100000,-123.800000,180.000000,top
C8,100n,C_0805,69.100000,-125.800000,180.000000,top
C9,2.2u,C_0603,86.900000,-114.300000,270.000000,top
C10,100n,C_0603,58.800000,-77.850000,270.000000,top
C11,10u,C_0603,69.000000,-121.100000,180.000000,top
C12,100n,C_0603,69.000000,-119.700000,180.000000,top
C13,100n,C_0603,83.500000,-104.500000,180.000000,top
C14,2.2u,C_0603,83.500000,-103.000000,180.000000,top
C15,100n,C_0603,67.800000,-77.550000,270.000000,top
C16,2.2u,C_0603,83.000000,-115.500000,0.000000,top
C17,2.2u,C_0603,80.500000,-111.500000,90.000000,top
C18,100n,C_0603,79.000000,-111.500000,90.000000,top
C19,22p,C_0603,70.750000,-111.000000,180.000000,top
C20,100n,C_0603,91.100000,-77.550000,270.000000,top
C21,100n,C_0603,70.500000,-101.500000,0.000000,top
C22,100n,C_0603,76.000000,-111.500000,90.000000,top
C23,2.2u,C_0603,77.500000,-111.500000,90.000000,top
D1,D,D_SMA,73.000000,-132.000000,270.000000,top
D2,D,D_SOD-123,102.800000,-116.450000,90.000000,top
D3,D,D_SOD-123,105.300000,-116.450000,270.000000,top
D4,BAT54C,SOT-23,88.600000,-108.800000,0.000000,top
L1,L,R_0603_HandSoldering,83.000000,-114.000000,0.000000,top
Q1,UMH3N,SOT-363_SC-70-6,112.300000,-122.100000,90.000000,top
Q2,Q_NPN_BEC_BRT,SOT-23,91.400000,-114.300000,180.000000,top
R1,10k,R_0603,103.000000,-87.600000,270.000000,top
R2,10k,R_0603,100.700000,-115.600000,90.000000,top
R3,10k,R_0603,107.600000,-117.300000,270.000000,top
R4,4.7k,R_0603,84.350000,-88.800000,0.000000,top
R5,4.7k,R_0603,84.350000,-86.200000,180.000000,top
R6,10k,R_0603,101.850000,-84.000000,0.000000,top
R7,1k,R_0603,87.355000,-132.100000,270.000000,top
R9,10k,R_0603,101.900000,-82.300000,0.000000,top
R10,10k,R_0603,88.600000,-114.300000,90.000000,top
R11,2.2k,R_0603,83.750000,-107.500000,0.000000,top
R12,2.2k,R_0603,83.750000,-106.000000,0.000000,top
R13,2.2k,R_0603,80.500000,-98.750000,90.000000,top
R14,2.2k,R_0603,79.000000,-98.750000,90.000000,top
R15,10k,R_0603,77.500000,-98.750000,90.000000,top
R16,2.2k,R_0603,83.750000,-109.000000,0.000000,top
R17,2.2k,R_0603,83.750000,-110.500000,0.000000,top
R18,2.2k,R_0603,83.750000,-112.000000,0.000000,top
R19,2.2k,R_0603,82.000000,-98.750000,90.000000,top
R20,49.9,R_0603,70.500000,-104.500000,0.000000,top
R21,12.1k,R_0603,74.500000,-111.500000,90.000000,top
R22,49.9,R_0603,70.500000,-106.000000,0.000000,top
R23,49.9,R_0603,70.500000,-107.500000,0.000000,top
R24,49.9,R_0603,70.500000,-109.500000,0.000000,top
R25,330,R_0603,70.500000,-103.000000,0.000000,top
R26,330,R_0603,70.500000,-112.500000,0.000000,top
U1,ESP32-WROOM-32,ESP32-WROOM-32,100.745000,-100.500000,270.000000,top
U2,CH340C,SOIC-16_3.9x9.9mm_P1.27mm,105.575000,-126.875000,0.000000,top
U3,MAX3483,SOIC-8_3.9x4.9mm_P1.27mm,94.800000,-79.200000,90.000000,top
U5,NX3008PBKS,TSOP-6_1.65x3.05mm_P0.95mm,85.000000,-118.500000,90.000000,top
U6,MAX3483,SOIC-8_3.9x4.9mm_P1.27mm,71.300000,-79.300000,90.000000,top
U7,LAN8710A,QFN-32-1EP_5x5mm_P0.5mm_EP3.3x3.3mm_ThermalVias,78.175000,-105.062500,90.000000,top
U8,MAX3483,SOIC-8_3.9x4.9mm_P1.27mm,62.765000,-79.500000,90.000000,top
